"Story","Title","Result","Date","Stability","Duration (s)"
"genre","Songs from non existent genre","SUCCESS","2018-09-06T16:01:04.477-05:00[America/Bogota]","0.0","0.9"
"id","Song request from not existing ID ""0""","SUCCESS","2018-09-06T16:01:07.048-05:00[America/Bogota]","0.0","1.14"
